A;B;C
01.01.19;1.145000000;0.873362445
02.01.19;1.139700000;0.877423883
03.01.19;1.134800000;0.881212548
04.01.19;1.140300000;0.876962203
07.01.19;1.144500000;0.873743993
08.01.19;1.144000000;0.874125874
09.01.19;1.145500000;0.872981231
10.01.19;1.153500000;0.866926745
11.01.19;1.153300000;0.867077083
14.01.19;1.146700000;0.872067672
15.01.19;1.142400000;0.875350140
16.01.19;1.138900000;0.878040214
17.01.19;1.139600000;0.877500878
18.01.19;1.140200000;0.877039116
21.01.19;1.136200000;0.880126738
22.01.19;1.135400000;0.880746873
23.01.19;1.136700000;0.879739597
24.01.19;1.134100000;0.881756459
25.01.19;1.134600000;0.881367883
28.01.19;1.141800000;0.875810124
29.01.19;1.142200000;0.875503414
30.01.19;1.142900000;0.874967189
31.01.19;1.148800000;0.870473538
01.02.19;1.147100000;0.871763578
04.02.19;1.144500000;0.873743993
05.02.19;1.142300000;0.875426771
06.02.19;1.139400000;0.877654906
07.02.19;1.134500000;0.881445571
08.02.19;1.134600000;0.881367883
11.02.19;1.130900000;0.884251481
12.02.19;1.129600000;0.885269122
13.02.19;1.130500000;0.884564352
14.02.19;1.126800000;0.887468939
15.02.19;1.126000000;0.888099467
18.02.19;1.132800000;0.882768362
19.02.19;1.129400000;0.885425890
20.02.19;1.134200000;0.881678716
21.02.19;1.135400000;0.880746873
22.02.19;1.132500000;0.883002208
25.02.19;1.135500000;0.880669309
26.02.19;1.136100000;0.880204207
27.02.19;1.138600000;0.878271562
28.02.19;1.141600000;0.875963560
01.03.19;1.138300000;0.878503031
04.03.19;1.133700000;0.882067566
05.03.19;1.132900000;0.882690440
06.03.19;1.130500000;0.884564352
07.03.19;1.127100000;0.887232721
08.03.19;1.122200000;0.891106755
11.03.19;1.124400000;0.889363216
12.03.19;1.127500000;0.886917960
13.03.19;1.130300000;0.884720871
14.03.19;1.129500000;0.885347499
15.03.19;1.130800000;0.884329678
18.03.19;1.134900000;0.881134902
19.03.19;1.135800000;0.880436697
20.03.19;1.135400000;0.880746873
21.03.19;1.138700000;0.878194432
22.03.19;1.130200000;0.884799151
25.03.19;1.132500000;0.883002208
26.03.19;1.129100000;0.885661146
27.03.19;1.126100000;0.888020602
28.03.19;1.121800000;0.891424496
29.03.19;1.123500000;0.890075656
01.04.19;1.123600000;0.889996440
02.04.19;1.120000000;0.892857143
03.04.19;1.124300000;0.889442320
04.04.19;1.121900000;0.891345040
05.04.19;1.123300000;0.890234132
08.04.19;1.124600000;0.889205051
09.04.19;1.127700000;0.886760663
10.04.19;1.127900000;0.886603422
11.04.19;1.126400000;0.887784091
12.04.19;1.132100000;0.883314195
15.04.19;1.131300000;0.883938831
16.04.19;1.130500000;0.884564352
17.04.19;1.130100000;0.884877444
18.04.19;1.125000000;0.888888889
23.04.19;1.124500000;0.889284126
24.04.19;1.120900000;0.892140244
25.04.19;1.112300000;0.899038029
26.04.19;1.113300000;0.898230486
29.04.19;1.115000000;0.896860987
30.04.19;1.121800000;0.891424496
02.05.19;1.121200000;0.891901534
03.05.19;1.115500000;0.896458987
06.05.19;1.119900000;0.892936869
07.05.19;1.118500000;0.894054537
08.05.19;1.120200000;0.892697733
09.05.19;1.119300000;0.893415528
10.05.19;1.123000000;0.890471950
13.05.19;1.124500000;0.889284126
14.05.19;1.122600000;0.890789239
15.05.19;1.118300000;0.894214433
16.05.19;1.120300000;0.892618049
17.05.19;1.117200000;0.895094880
20.05.19;1.116700000;0.895495657
